DateTime,AdviceCode,Speed,Length
9/27/2022 13:01,2,27,13
9/27/2022 13:01,2,22,35
9/27/2022 13:03,2,20,29
9/27/2022 13:04,2,24,11
9/27/2022 13:05,2,28,15
9/27/2022 13:09,2,26,13
9/27/2022 13:13,2,24,11
9/27/2022 13:14,2,21,8
9/27/2022 13:20,2,23,35
9/27/2022 13:24,2,29,16
9/27/2022 13:29,2,22,12
9/27/2022 13:30,2,28,14
9/27/2022 13:30,2,34,19
9/27/2022 13:36,2,28,13
9/27/2022 13:38,2,21,14
9/27/2022 13:40,2,21,19
9/27/2022 13:41,2,33,18
9/27/2022 13:42,2,32,16
9/27/2022 13:42,2,26,19
9/27/2022 13:43,2,27,17
9/27/2022 13:44,2,27,13
9/27/2022 13:44,2,25,17
9/27/2022 13:45,2,29,16
9/27/2022 13:48,2,23,10
9/27/2022 13:49,2,27,19
9/27/2022 13:49,2,35,19
9/27/2022 13:51,2,28,16
9/27/2022 13:55,2,22,5
9/27/2022 13:56,2,22,15
9/27/2022 13:57,2,22,18
9/27/2022 13:58,2,23,13
9/27/2022 13:58,2,24,18
9/27/2022 14:01,2,28,16
9/27/2022 14:02,128,127,127
9/27/2022 14:05,2,27,19
9/27/2022 14:05,2,24,18
9/27/2022 14:06,2,23,18
9/27/2022 14:06,2,11,13
9/27/2022 14:08,2,24,13
9/27/2022 14:10,2,31,15
9/27/2022 14:11,2,20,14
9/27/2022 14:17,2,27,15
9/27/2022 14:18,2,23,14
9/27/2022 14:21,2,22,19
9/27/2022 14:22,2,31,11
9/27/2022 14:23,2,26,14
9/27/2022 14:24,2,29,17
9/27/2022 14:24,2,26,15
9/27/2022 14:27,2,30,16
9/27/2022 14:27,2,24,16
9/27/2022 14:28,2,25,16
9/27/2022 14:28,2,26,14
9/27/2022 14:31,2,21,16
9/27/2022 14:31,2,26,15
9/27/2022 14:36,2,27,15
9/27/2022 14:37,2,24,11
9/27/2022 14:37,2,10,16
9/27/2022 14:38,2,21,15
9/27/2022 14:38,2,24,15
9/27/2022 14:38,2,30,15
9/27/2022 14:40,2,26,11
9/27/2022 14:45,2,25,15
9/27/2022 14:45,2,26,16
9/27/2022 14:46,2,29,18
9/27/2022 14:46,2,30,15
9/27/2022 14:48,2,31,15
9/27/2022 14:49,2,25,17
9/27/2022 14:49,2,27,15
9/27/2022 14:50,2,11,16
9/27/2022 14:52,2,26,16
9/27/2022 14:55,2,22,17
9/27/2022 14:59,2,21,19
9/27/2022 15:00,128,21,0
9/27/2022 15:01,2,24,19
9/27/2022 15:02,2,26,18
9/27/2022 15:02,2,24,12
9/27/2022 15:04,2,26,16
9/27/2022 15:05,2,30,16
9/27/2022 15:06,2,24,16
9/27/2022 15:08,2,25,13
9/27/2022 15:09,128,26,0
9/27/2022 15:09,2,22,13
9/27/2022 15:09,2,26,15
9/27/2022 15:09,2,24,14
9/27/2022 15:10,2,21,13
9/27/2022 15:11,2,21,18
9/27/2022 15:12,2,61,45
9/27/2022 15:12,2,25,18
9/27/2022 15:14,2,25,15
9/27/2022 15:15,2,21,22
