DateTime,AdviceCode,Speed,Length
12/13/2022 14:02,2,26,19
12/13/2022 14:03,2,27,15
12/13/2022 14:05,2,25,14
12/13/2022 14:08,2,23,16
12/13/2022 14:10,2,22,14
12/13/2022 14:11,2,27,18
12/13/2022 14:12,2,29,17
12/13/2022 14:14,2,25,12
12/13/2022 14:15,2,27,18
12/13/2022 14:15,2,30,12
12/13/2022 14:17,2,24,18
12/13/2022 14:17,2,26,13
12/13/2022 14:19,2,31,17
12/13/2022 14:20,2,18,10
12/13/2022 14:22,2,26,16
12/13/2022 14:24,2,29,17
12/13/2022 14:24,2,24,18
12/13/2022 14:24,2,33,18
12/13/2022 14:25,2,22,17
12/13/2022 14:25,2,34,18
12/13/2022 14:28,2,26,15
12/13/2022 14:28,2,23,13
12/13/2022 14:29,2,24,17
12/13/2022 14:30,2,29,17
12/13/2022 14:31,2,20,19
12/13/2022 14:32,2,12,13
12/13/2022 14:32,2,28,17
12/13/2022 14:33,2,22,9
12/13/2022 14:34,2,29,14
12/13/2022 14:35,2,23,10
12/13/2022 14:36,2,33,18
12/13/2022 14:37,2,29,15
12/13/2022 14:37,2,31,15
12/13/2022 14:38,2,20,20
12/13/2022 14:38,2,33,19
12/13/2022 14:38,2,27,18
12/13/2022 14:39,2,38,16
12/13/2022 14:39,2,23,20
12/13/2022 14:40,2,24,15
12/13/2022 14:41,2,19,19
12/13/2022 14:42,2,30,14
12/13/2022 14:45,2,20,45
12/13/2022 14:45,2,15,17
12/13/2022 14:45,2,12,18
12/13/2022 14:45,2,26,18
12/13/2022 14:47,2,33,19
12/13/2022 14:51,2,26,17
12/13/2022 14:51,2,31,17
12/13/2022 14:51,2,26,23
12/13/2022 14:52,2,32,21
12/13/2022 14:54,2,24,13
12/13/2022 14:55,2,20,34
12/13/2022 14:56,2,34,16
12/13/2022 14:56,2,28,18
12/13/2022 14:58,2,15,20
12/13/2022 14:59,2,27,16
12/13/2022 15:00,2,26,16
12/13/2022 15:03,2,37,18
12/13/2022 15:05,2,30,28
12/13/2022 15:06,2,24,16
12/13/2022 15:07,2,30,17
12/13/2022 15:08,2,29,20
12/13/2022 15:09,2,27,19
12/13/2022 15:09,2,35,20
12/13/2022 15:09,2,32,17
12/13/2022 15:10,2,30,19
12/13/2022 15:11,2,29,14
12/13/2022 15:12,2,23,19
12/13/2022 15:12,2,21,15
12/13/2022 15:13,128,27,3
12/13/2022 15:15,2,22,17
12/13/2022 15:15,2,27,17
12/13/2022 15:16,2,29,18
12/13/2022 15:21,2,27,14
12/13/2022 15:21,2,29,18
