DateTime,AdviceCode,Speed,Length
9/27/2022 13:01,2,25,8
9/27/2022 13:01,2,32,16
9/27/2022 13:04,2,40,15
9/27/2022 13:09,2,35,16
9/27/2022 13:10,2,33,11
9/27/2022 13:11,2,22,14
9/27/2022 13:12,2,44,19
9/27/2022 13:14,2,28,12
9/27/2022 13:17,2,37,13
9/27/2022 13:18,2,22,31
9/27/2022 13:18,2,22,19
9/27/2022 13:23,2,36,17
9/27/2022 13:28,2,31,12
9/27/2022 13:33,2,32,16
9/27/2022 13:36,2,25,17
9/27/2022 13:45,2,11,13
9/27/2022 13:46,2,30,14
9/27/2022 13:46,2,23,16
9/27/2022 13:46,2,32,19
9/27/2022 13:46,2,17,41
9/27/2022 13:49,2,24,18
9/27/2022 13:53,4,20,6
9/27/2022 13:53,2,39,15
9/27/2022 13:56,2,30,16
9/27/2022 14:00,2,37,15
9/27/2022 14:01,2,28,17
9/27/2022 14:03,2,37,15
9/27/2022 14:05,2,35,13
9/27/2022 14:05,2,24,17
9/27/2022 14:08,2,56,40
9/27/2022 14:09,2,34,15
9/27/2022 14:12,2,27,19
9/27/2022 14:13,2,26,14
9/27/2022 14:13,2,36,14
9/27/2022 14:16,2,34,4
9/27/2022 14:18,2,31,16
9/27/2022 14:23,2,31,12
9/27/2022 14:24,2,31,20
9/27/2022 14:24,2,25,16
9/27/2022 14:26,2,38,15
9/27/2022 14:30,2,30,18
9/27/2022 14:31,2,29,19
9/27/2022 14:32,2,31,17
9/27/2022 14:34,2,35,16
9/27/2022 14:37,2,39,17
9/27/2022 14:38,2,33,16
9/27/2022 14:38,2,40,16
9/27/2022 14:39,2,30,16
9/27/2022 14:42,2,35,15
9/27/2022 14:45,2,32,15
9/27/2022 14:47,2,23,9
9/27/2022 14:48,128,255,255
9/27/2022 14:48,2,26,13
9/27/2022 14:48,2,34,14
9/27/2022 14:51,128,255,255
9/27/2022 14:55,128,104,31
9/27/2022 14:56,2,28,12
9/27/2022 15:02,2,30,16
9/27/2022 15:03,2,25,12
9/27/2022 15:06,2,27,18
9/27/2022 15:07,2,26,18
9/27/2022 15:10,2,29,16
