DateTime,AdviceCode,Speed,Length
12/13/2022 14:02,2,31,19
12/13/2022 14:02,2,39,13
12/13/2022 14:04,2,29,19
12/13/2022 14:06,2,37,17
12/13/2022 14:10,2,24,16
12/13/2022 14:11,2,33,18
12/13/2022 14:12,2,36,14
12/13/2022 14:18,2,39,17
12/13/2022 14:18,2,25,7
12/13/2022 14:20,2,49,18
12/13/2022 14:22,2,35,17
12/13/2022 14:22,2,39,17
12/13/2022 14:24,2,40,15
12/13/2022 14:24,2,36,17
12/13/2022 14:25,2,44,21
12/13/2022 14:28,2,30,39
12/13/2022 14:30,2,24,8
12/13/2022 14:33,2,29,15
12/13/2022 14:34,2,30,42
12/13/2022 14:35,2,42,18
12/13/2022 14:35,2,30,15
12/13/2022 14:35,2,37,18
12/13/2022 14:38,2,29,15
12/13/2022 14:39,2,35,16
12/13/2022 14:42,2,30,15
12/13/2022 14:42,2,34,13
12/13/2022 14:42,2,35,18
12/13/2022 14:42,2,33,18
12/13/2022 14:42,2,32,17
12/13/2022 14:43,2,31,16
12/13/2022 14:44,2,24,13
12/13/2022 14:45,2,27,17
12/13/2022 14:47,2,36,13
12/13/2022 14:48,2,26,14
12/13/2022 14:49,2,29,15
12/13/2022 14:49,2,21,17
12/13/2022 14:50,2,22,12
12/13/2022 14:51,2,27,15
12/13/2022 14:51,2,43,22
12/13/2022 14:52,2,24,30
12/13/2022 15:00,2,25,19
12/13/2022 15:03,2,28,16
12/13/2022 15:04,2,36,16
12/13/2022 15:05,2,36,14
12/13/2022 15:05,2,33,12
12/13/2022 15:10,2,31,19
12/13/2022 15:10,2,40,17
12/13/2022 15:11,2,39,14
12/13/2022 15:11,2,35,15
12/13/2022 15:12,2,36,9
12/13/2022 15:13,2,30,13
12/13/2022 15:14,2,33,21
12/13/2022 15:14,2,31,16
12/13/2022 15:16,2,24,15
12/13/2022 15:16,2,25,14
12/13/2022 15:17,2,29,6
12/13/2022 15:19,2,28,13
12/13/2022 15:21,2,43,12
12/13/2022 15:23,2,24,20
12/13/2022 15:26,2,24,16
12/13/2022 15:28,2,30,18
12/13/2022 15:28,2,77,44
12/13/2022 15:29,2,49,18
12/13/2022 15:34,2,72,31
12/13/2022 15:35,2,29,18
12/13/2022 15:35,2,31,17
12/13/2022 15:37,2,42,20
12/13/2022 15:38,2,37,19
12/13/2022 15:41,2,34,35
12/13/2022 15:43,2,31,16
12/13/2022 15:44,2,26,17
12/13/2022 15:46,2,34,12
12/13/2022 15:47,2,25,16
12/13/2022 15:47,2,30,18
12/13/2022 15:47,2,46,19
12/13/2022 15:47,128,127,75
12/13/2022 15:51,2,32,16
12/13/2022 15:51,2,43,19
12/13/2022 15:54,2,25,17
12/13/2022 15:55,128,57,2
12/13/2022 15:56,2,32,15
12/13/2022 15:57,2,33,18
12/13/2022 16:00,2,18,36
12/13/2022 16:00,2,28,17
12/13/2022 16:02,2,33,14
12/13/2022 16:04,2,31,15
12/13/2022 16:05,2,35,16
12/13/2022 16:06,2,39,39
12/13/2022 16:07,2,29,18
12/13/2022 16:07,2,57,30
12/13/2022 16:08,2,29,19
12/13/2022 16:09,2,25,12
12/13/2022 16:09,2,26,14
12/13/2022 16:14,2,34,16
12/13/2022 16:16,2,26,20
12/13/2022 16:16,2,30,17
12/13/2022 16:17,2,28,6
12/13/2022 16:19,2,29,9
12/13/2022 16:20,2,27,13
12/13/2022 16:20,2,19,15
12/13/2022 16:21,2,31,19
12/13/2022 16:23,2,67,19
12/13/2022 16:26,2,31,24
12/13/2022 16:29,2,35,23
12/13/2022 16:29,2,37,19
12/13/2022 16:29,2,37,19
12/13/2022 16:30,2,42,34
12/13/2022 16:30,2,18,17
12/13/2022 16:32,2,34,17
12/13/2022 16:33,2,33,22
12/13/2022 16:34,2,33,35
12/13/2022 16:34,2,24,15
12/13/2022 16:35,2,24,15
12/13/2022 16:35,2,29,11
12/13/2022 16:36,2,14,6
12/13/2022 16:36,2,31,16
12/13/2022 16:36,2,29,17
12/13/2022 16:36,2,20,14
12/13/2022 16:37,2,25,19
12/13/2022 16:37,2,27,14
12/13/2022 16:38,2,26,14
12/13/2022 16:38,2,25,22
12/13/2022 16:39,2,47,17
12/13/2022 16:42,2,20,10
12/13/2022 16:43,2,29,21
12/13/2022 16:44,2,25,20
12/13/2022 16:45,2,29,17
12/13/2022 16:46,2,51,34
12/13/2022 16:46,2,31,18
12/13/2022 16:47,2,33,17
12/13/2022 16:49,2,32,16
12/13/2022 16:49,2,28,16
12/13/2022 16:49,2,35,14
12/13/2022 16:53,2,28,14
12/13/2022 16:53,2,31,19
12/13/2022 16:53,2,31,18
12/13/2022 16:54,2,30,15
12/13/2022 16:55,2,31,15
12/13/2022 16:56,2,36,17
12/13/2022 16:58,2,35,18
12/13/2022 16:58,2,39,13
12/13/2022 17:02,2,39,14
12/13/2022 17:02,2,33,17
12/13/2022 17:04,2,93,41
12/13/2022 17:04,2,28,16
12/13/2022 17:05,2,37,17
12/13/2022 17:05,2,35,15
12/13/2022 17:11,128,127,127
12/13/2022 17:14,2,33,13
12/13/2022 17:15,2,37,17
12/13/2022 17:17,2,15,15
12/13/2022 17:18,2,52,21
12/13/2022 17:18,2,28,19
12/13/2022 17:18,2,36,16
12/13/2022 17:22,2,27,15
12/13/2022 17:23,2,30,16
12/13/2022 17:24,2,27,16
12/13/2022 17:25,2,28,19
12/13/2022 17:26,2,28,6
12/13/2022 17:28,2,24,10
12/13/2022 17:28,2,33,14
12/13/2022 17:28,2,40,19
12/13/2022 17:30,2,34,18
12/13/2022 17:31,128,122,57
12/13/2022 17:31,2,21,12
12/13/2022 17:31,2,50,20
12/13/2022 17:31,2,53,39
12/13/2022 17:32,2,52,30
12/13/2022 17:33,2,36,16
12/13/2022 17:34,2,33,19
12/13/2022 17:34,2,28,15
12/13/2022 17:35,2,36,17
12/13/2022 17:38,2,25,20
12/13/2022 17:44,2,26,11
12/13/2022 17:46,2,27,19
12/13/2022 17:47,2,28,13
12/13/2022 17:47,2,44,17
12/13/2022 17:49,2,29,20
12/13/2022 17:49,2,30,20
12/13/2022 17:50,2,21,16
12/13/2022 17:53,2,31,9
12/13/2022 17:54,2,32,17
12/13/2022 17:54,2,32,17
12/13/2022 17:55,2,30,17
12/13/2022 17:56,2,29,8
12/13/2022 17:58,2,56,15
12/13/2022 18:07,2,36,11
12/13/2022 18:09,2,27,14
12/13/2022 18:09,2,33,18
12/13/2022 18:09,2,24,19
12/13/2022 18:13,2,31,20
12/13/2022 18:15,2,33,15
12/13/2022 18:16,2,34,19
12/13/2022 18:17,128,127,127
12/13/2022 18:19,128,127,127
12/13/2022 18:21,128,127,127
12/13/2022 18:21,2,31,13
12/13/2022 18:21,2,34,20
12/13/2022 18:22,2,28,15
12/13/2022 18:22,2,31,15
12/13/2022 18:23,2,92,58
12/13/2022 18:24,2,25,13
12/13/2022 18:25,2,46,19
12/13/2022 18:25,2,44,16
12/13/2022 18:28,2,32,17
12/13/2022 18:30,2,41,14
12/13/2022 18:34,2,30,17
12/13/2022 18:35,2,27,12
12/13/2022 18:40,2,37,18
12/13/2022 18:41,2,33,18
12/13/2022 18:42,2,56,20
12/13/2022 18:45,2,57,19
12/13/2022 18:49,2,28,16
12/13/2022 18:49,2,33,13
12/13/2022 18:51,2,27,15
12/13/2022 18:52,2,21,16
12/13/2022 18:54,2,29,15
12/13/2022 18:59,128,28,3
12/13/2022 19:01,2,28,13
12/13/2022 19:05,2,29,14
12/13/2022 19:08,2,27,16
12/13/2022 19:12,2,27,17
12/13/2022 19:12,2,34,15
12/13/2022 19:12,2,27,17
12/13/2022 19:19,2,28,45
12/13/2022 19:22,2,30,16
12/13/2022 19:24,2,33,19
12/13/2022 19:24,2,29,20
12/13/2022 19:26,2,7,9
12/13/2022 19:27,2,28,14
12/13/2022 19:29,2,33,18
12/13/2022 19:31,2,24,16
12/13/2022 19:34,2,25,10
12/13/2022 19:35,2,5,11
12/13/2022 19:36,2,38,12
12/13/2022 19:40,2,36,19
12/13/2022 19:44,2,39,7
12/13/2022 19:46,2,28,17
12/13/2022 19:48,2,30,18
12/13/2022 19:48,2,29,17
12/13/2022 19:48,2,36,22
12/13/2022 19:50,2,32,18
12/13/2022 19:50,2,30,17
12/13/2022 19:55,2,31,13
12/13/2022 20:00,2,29,18
12/13/2022 20:02,2,31,18
12/13/2022 20:05,2,27,17
12/13/2022 20:08,2,28,16
12/13/2022 20:14,2,29,8
12/13/2022 20:18,2,32,13
12/13/2022 20:30,2,29,13
12/13/2022 20:31,2,27,15
12/13/2022 20:33,2,39,19
12/13/2022 20:35,2,91,43
12/13/2022 20:41,2,28,17
12/13/2022 20:45,2,26,10
12/13/2022 20:48,2,42,16
12/13/2022 20:55,2,23,9
12/13/2022 20:56,2,31,16
12/13/2022 21:04,2,30,14
12/13/2022 21:09,128,31,0
12/13/2022 21:17,2,32,17
12/13/2022 21:19,2,26,16
12/13/2022 21:23,128,127,103
12/13/2022 21:25,2,43,20
12/13/2022 22:26,2,43,17
12/13/2022 22:38,2,42,17
12/13/2022 22:56,2,59,20
12/13/2022 23:08,2,46,11
12/13/2022 23:16,2,46,19
12/13/2022 23:47,2,45,15
12/14/2022 0:57,2,30,15
12/14/2022 2:08,2,39,14
12/14/2022 4:09,2,51,22
12/14/2022 4:58,2,30,15
12/14/2022 5:50,2,64,19
12/14/2022 5:57,2,30,15
12/14/2022 6:24,2,48,44
12/14/2022 6:25,2,21,16
12/14/2022 6:39,2,39,45
12/14/2022 6:41,2,31,15
12/14/2022 6:43,2,25,17
12/14/2022 6:48,2,33,17
12/14/2022 6:49,2,31,17
12/14/2022 7:04,2,25,18
12/14/2022 7:07,2,29,15
12/14/2022 7:08,2,25,16
12/14/2022 7:09,2,30,16
12/14/2022 7:21,2,25,16
12/14/2022 7:24,2,21,11
12/14/2022 7:25,2,33,19
12/14/2022 7:26,2,29,13
12/14/2022 7:27,2,38,13
12/14/2022 7:30,2,32,17
12/14/2022 7:31,2,31,19
12/14/2022 7:32,2,46,17
12/14/2022 7:32,2,29,19
12/14/2022 7:33,4,19,13
12/14/2022 7:34,2,23,18
12/14/2022 7:37,2,34,15
12/14/2022 7:37,2,40,47
12/14/2022 7:38,2,31,22
12/14/2022 7:39,2,29,15
12/14/2022 7:40,2,18,11
12/14/2022 7:40,2,30,14
12/14/2022 7:40,2,30,19
12/14/2022 7:41,2,29,16
12/14/2022 7:43,2,38,19
12/14/2022 7:44,2,28,18
12/14/2022 7:46,2,33,17
12/14/2022 7:47,2,40,17
12/14/2022 7:47,2,46,17
12/14/2022 7:48,2,35,19
12/14/2022 7:50,2,36,18
12/14/2022 7:52,2,31,10
12/14/2022 7:55,4,28,13
12/14/2022 7:55,2,35,19
12/14/2022 7:56,2,34,32
12/14/2022 7:59,2,33,12
12/14/2022 7:59,2,32,14
12/14/2022 7:59,2,27,13
12/14/2022 7:59,2,67,36
12/14/2022 8:00,2,38,13
12/14/2022 8:00,2,22,8
12/14/2022 8:00,2,38,38
12/14/2022 8:01,2,38,35
12/14/2022 8:07,2,40,29
12/14/2022 8:07,2,36,20
12/14/2022 8:07,2,34,10
12/14/2022 8:08,2,27,20
12/14/2022 8:09,2,42,16
12/14/2022 8:09,2,37,13
12/14/2022 8:11,2,34,16
12/14/2022 8:11,2,30,16
12/14/2022 8:12,2,29,12
12/14/2022 8:13,2,32,15
12/14/2022 8:16,128,127,127
12/14/2022 8:17,2,31,16
12/14/2022 8:18,2,25,14
12/14/2022 8:19,2,84,40
12/14/2022 8:20,2,95,61
12/14/2022 8:21,2,28,17
12/14/2022 8:25,2,53,33
12/14/2022 8:27,2,57,32
12/14/2022 8:27,2,63,30
12/14/2022 8:27,2,29,17
12/14/2022 8:28,2,47,14
12/14/2022 8:29,2,50,29
12/14/2022 8:31,128,50,127
12/14/2022 8:32,2,18,17
12/14/2022 8:32,2,18,17
12/14/2022 8:34,2,37,18
12/14/2022 8:36,2,39,19
12/14/2022 8:39,2,35,19
12/14/2022 8:42,2,22,13
12/14/2022 8:45,2,53,34
12/14/2022 8:48,2,33,14
12/14/2022 8:50,2,35,17
12/14/2022 8:50,2,39,19
12/14/2022 8:53,2,29,12
12/14/2022 8:57,2,38,30
12/14/2022 8:58,2,29,19
12/14/2022 8:59,2,29,12
12/14/2022 9:02,2,31,17
12/14/2022 9:06,2,31,18
12/14/2022 9:06,2,32,18
12/14/2022 9:11,2,38,18
12/14/2022 9:11,2,36,19
12/14/2022 9:15,2,23,15
12/14/2022 9:16,2,35,18
12/14/2022 9:17,2,36,19
12/14/2022 9:17,2,33,20
12/14/2022 9:18,2,37,19
12/14/2022 9:19,2,34,15
12/14/2022 9:20,2,23,14
12/14/2022 9:21,2,34,16
12/14/2022 9:22,2,29,18
12/14/2022 9:25,2,31,19
12/14/2022 9:26,2,30,19
12/14/2022 9:29,2,28,13
12/14/2022 9:30,2,58,18
12/14/2022 9:33,2,35,13
12/14/2022 9:40,2,23,19
12/14/2022 9:44,2,35,14
12/14/2022 9:46,2,54,19
12/14/2022 9:49,2,21,14
12/14/2022 9:50,2,42,23
12/14/2022 9:51,2,41,17
12/14/2022 9:52,2,21,14
12/14/2022 9:52,2,45,16
12/14/2022 9:54,2,36,17
12/14/2022 9:58,2,32,16
12/14/2022 10:07,2,30,16
12/14/2022 10:12,2,30,14
12/14/2022 10:14,2,55,19
12/14/2022 10:14,2,31,9
12/14/2022 10:15,2,26,17
12/14/2022 10:18,2,29,13
12/14/2022 10:20,2,28,19
12/14/2022 10:21,2,36,13
12/14/2022 10:23,2,32,17
12/14/2022 10:27,2,32,17
12/14/2022 10:29,2,45,16
12/14/2022 10:31,2,44,17
12/14/2022 10:31,2,29,17
12/14/2022 10:32,2,15,15
12/14/2022 10:32,2,23,38
12/14/2022 10:33,2,30,15
12/14/2022 10:36,2,41,19
12/14/2022 10:37,2,32,19
12/14/2022 10:37,2,26,20
12/14/2022 10:41,2,30,16
12/14/2022 10:42,2,28,17
12/14/2022 10:43,2,37,19
12/14/2022 10:44,128,113,44
12/14/2022 10:45,2,29,19
12/14/2022 10:49,2,26,16
12/14/2022 10:52,2,41,19
12/14/2022 11:00,2,44,20
12/14/2022 11:01,2,33,11
12/14/2022 11:03,2,29,14
12/14/2022 11:03,2,29,15
12/14/2022 11:05,2,35,14
12/14/2022 11:05,2,46,21
12/14/2022 11:10,2,32,14
12/14/2022 11:12,2,22,29
12/14/2022 11:13,2,37,17
12/14/2022 11:21,2,38,22
12/14/2022 11:22,2,33,19
12/14/2022 11:25,2,27,16
12/14/2022 11:28,2,31,17
12/14/2022 11:32,2,27,16
12/14/2022 11:35,2,33,12
12/14/2022 11:36,2,18,13
12/14/2022 11:36,2,23,13
12/14/2022 11:37,2,31,17
12/14/2022 11:40,2,39,16
12/14/2022 11:44,2,29,15
12/14/2022 11:46,2,32,15
12/14/2022 11:49,2,38,22
12/14/2022 11:50,2,37,19
12/14/2022 11:54,2,42,15
12/14/2022 11:55,2,91,40
12/14/2022 12:06,2,35,17
12/14/2022 12:09,2,48,21
12/14/2022 12:10,2,46,19
12/14/2022 12:11,2,33,15
12/14/2022 12:14,2,34,13
12/14/2022 12:17,2,62,20
12/14/2022 12:18,2,35,17
12/14/2022 12:18,2,30,19
12/14/2022 12:19,2,33,14
12/14/2022 12:20,2,33,16
12/14/2022 12:22,2,31,16
12/14/2022 12:22,2,33,15
12/14/2022 12:28,2,48,41
12/14/2022 12:30,2,41,21
12/14/2022 12:30,2,34,11
12/14/2022 12:36,2,37,18
12/14/2022 12:38,2,31,14
12/14/2022 12:42,2,32,15
12/14/2022 12:43,2,52,38
12/14/2022 12:44,2,34,19
12/14/2022 12:47,2,86,43
12/14/2022 12:51,2,29,17
12/14/2022 12:51,2,43,32
12/14/2022 12:55,2,35,15
12/14/2022 12:55,2,45,16
12/14/2022 12:56,2,28,19
12/14/2022 12:57,2,32,13
12/14/2022 12:59,2,36,20
12/14/2022 13:00,2,46,49
12/14/2022 13:00,2,31,9
12/14/2022 13:01,2,44,18
12/14/2022 13:02,128,38,3
12/14/2022 13:06,2,25,16
12/14/2022 13:06,2,37,18
12/14/2022 13:09,2,34,16
12/14/2022 13:13,2,34,16
12/14/2022 13:15,2,31,16
12/14/2022 13:15,2,44,17
12/14/2022 13:15,2,43,12
12/14/2022 13:20,2,28,17
12/14/2022 13:21,2,27,16
12/14/2022 13:21,2,36,18
12/14/2022 13:25,2,36,16
12/14/2022 13:25,2,34,16
12/14/2022 13:26,2,32,14
12/14/2022 13:32,2,33,16
12/14/2022 13:33,2,25,33
12/14/2022 13:33,2,54,16
12/14/2022 13:40,2,30,12
12/14/2022 13:41,2,23,7
12/14/2022 13:43,2,24,16
12/14/2022 13:43,2,32,17
12/14/2022 13:43,2,27,16
12/14/2022 13:46,2,32,13
12/14/2022 13:47,2,31,19
12/14/2022 13:50,2,53,20
12/14/2022 13:54,2,36,15
12/14/2022 13:55,2,21,19
12/14/2022 13:57,2,24,18
12/14/2022 13:57,2,25,20
12/14/2022 13:58,2,28,18
12/14/2022 13:59,2,29,12
