DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2022-08-16 13:00:07,2,26,20,0,32,1,0,0
2022-08-16 13:01:23,2,32,18,0,32,1,76,3567
2022-08-16 13:02:14,2,43,24,0,32,1,51,3216
2022-08-16 13:05:22,2,61,45,0,32,1,188,16820
2022-08-16 13:06:20,2,34,20,0,32,1,58,2892
2022-08-16 13:07:32,2,20,19,0,32,1,72,2112
2022-08-16 13:08:31,2,25,17,0,32,1,59,2163
2022-08-16 13:09:44,2,23,16,0,32,1,73,2463
2022-08-16 13:13:00,2,23,19,0,32,1,196,6612
2022-08-16 13:13:11,2,24,17,0,32,1,11,387
2022-08-16 13:13:23,128,255,255,0,32,1,12,4488
2022-08-16 13:14:27,128,255,255,0,32,1,64,23936
2022-08-16 13:16:34,2,23,15,0,32,1,127,4284
2022-08-16 13:17:10,2,20,29,0,32,2,36,1056
2022-08-16 13:18:30,2,29,21,0,32,1,80,3403
2022-08-16 13:19:36,2,22,18,0,32,1,66,2130
2022-08-16 13:20:27,2,35,19,0,32,1,51,2618
2022-08-16 13:20:54,2,25,20,0,32,1,27,990
2022-08-16 13:22:48,2,18,19,0,32,2,114,3010
2022-08-16 13:24:06,2,21,17,0,32,1,78,2402
2022-08-16 13:26:25,2,29,18,0,32,1,139,5912
2022-08-16 13:27:18,128,5,3,0,32,1,53,389
2022-08-16 13:27:34,2,7,18,0,32,4,16,164
2022-08-16 13:29:54,2,12,17,0,32,2,140,2464
2022-08-16 13:30:08,2,25,19,0,32,1,14,513
2022-08-16 13:30:56,2,26,21,0,32,1,48,1830
2022-08-16 13:33:27,2,27,20,0,32,1,151,5980
2022-08-16 13:33:39,2,28,19,0,32,1,12,493
2022-08-16 13:36:33,2,25,21,0,32,1,174,6380
2022-08-16 13:37:34,2,26,16,0,32,1,61,2326
2022-08-16 13:38:45,2,25,20,0,32,1,71,2603
2022-08-16 13:42:12,2,23,17,0,32,1,207,6983
2022-08-16 13:42:16,2,23,28,0,32,2,4,135
2022-08-16 13:43:32,2,21,19,0,32,1,76,2341
2022-08-16 13:46:29,2,20,18,0,32,1,177,5192
2022-08-16 13:46:36,2,26,17,0,32,1,7,267
2022-08-16 13:47:04,2,26,15,0,32,1,28,1068
2022-08-16 13:47:09,2,33,24,0,32,1,5,242
