DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2022-04-20 01:27:06,2,26,18,0,32,1,3461,131979
2022-04-20 05:25:00,2,30,21,0,32,1,14274,628055
2022-04-20 05:34:54,2,28,21,0,32,1,594,24394
2022-04-20 05:46:55,2,32,11,0,32,1,721,33839
2022-04-20 05:48:15,2,25,19,0,32,1,80,2933
2022-04-20 05:54:26,2,31,20,0,32,1,371,16868
2022-04-20 05:55:03,2,26,18,0,32,1,37,1411
2022-04-20 05:55:20,2,28,24,0,32,1,17,698
2022-04-20 05:57:41,2,33,19,0,32,1,141,6824
2022-04-20 06:02:30,2,29,18,0,32,1,289,12292
2022-04-20 06:21:20,2,23,20,0,32,1,1130,38119
2022-04-20 06:24:03,2,32,16,0,32,1,163,7650
2022-04-20 06:32:33,2,29,22,0,32,1,510,21692
2022-04-20 06:32:58,2,37,24,0,32,1,25,1357
2022-04-20 06:33:14,2,32,14,0,32,1,16,751
2022-04-20 06:33:48,2,26,21,0,32,1,34,1297
2022-04-20 06:34:54,128,0,0,0,32,0,66,0
2022-04-20 06:35:09,128,0,0,0,32,0,15,0
2022-04-20 06:36:20,2,27,14,0,32,1,71,2812
2022-04-20 06:41:03,2,5,2,0,32,1,283,2075
2022-04-20 06:46:45,2,27,16,0,32,1,342,13543
2022-04-20 06:48:13,2,33,24,0,32,1,88,4259
2022-04-20 06:48:56,2,29,20,0,32,1,43,1829
2022-04-20 06:53:39,2,40,23,0,32,1,283,16603
2022-04-20 06:54:58,2,5,11,0,32,3,79,579
2022-04-20 06:55:15,2,2,11,0,32,8,17,50
2022-04-20 06:56:51,2,30,15,0,32,1,96,4224
2022-04-20 07:01:03,2,33,27,0,32,1,252,12197
2022-04-20 07:02:28,2,35,14,0,32,1,85,4363
2022-04-20 07:02:48,2,26,20,0,32,1,20,763
2022-04-20 07:03:11,2,28,22,0,32,1,23,945
2022-04-20 07:06:39,2,30,15,0,32,1,208,9152
2022-04-20 07:09:49,2,31,13,0,32,1,190,8639
2022-04-20 07:12:07,2,45,18,0,32,1,138,9108
2022-04-20 07:13:17,2,30,17,0,32,1,70,3080
2022-04-20 07:13:27,2,33,17,0,32,1,10,484
2022-04-20 07:19:37,2,26,19,0,32,1,370,14109
2022-04-20 07:20:01,2,26,15,0,32,1,24,915
2022-04-20 07:20:34,2,37,24,0,32,1,33,1791
2022-04-20 07:20:49,2,27,23,0,32,1,15,594
2022-04-20 07:21:21,2,39,23,0,32,1,32,1830
2022-04-20 07:22:57,2,27,19,0,32,1,96,3802
2022-04-20 07:24:54,2,30,27,0,32,1,117,5148
2022-04-20 07:25:01,2,35,21,0,32,1,7,359
2022-04-20 07:26:04,2,34,21,0,32,1,63,3142
2022-04-20 07:26:50,2,40,21,0,32,1,46,2699
2022-04-20 07:27:30,2,29,19,0,32,1,40,1701
2022-04-20 07:27:37,2,32,26,0,32,1,7,329
2022-04-20 07:27:44,2,28,21,0,32,1,7,287
2022-04-20 07:28:11,2,34,19,0,32,1,27,1346
2022-04-20 07:28:24,2,29,11,0,32,1,13,553
2022-04-20 07:28:28,2,29,19,0,32,1,4,170
2022-04-20 07:30:37,2,44,17,0,32,1,129,8325
2022-04-20 07:32:58,2,28,19,0,32,1,141,5790
2022-04-20 07:35:22,2,36,15,0,32,1,144,7603
2022-04-20 07:35:27,2,31,17,0,32,1,5,227
2022-04-20 07:35:39,2,28,20,0,32,1,12,493
2022-04-20 07:36:18,2,28,26,0,32,1,39,1602
2022-04-20 07:37:08,2,29,15,0,32,1,50,2127
2022-04-20 07:37:14,2,28,15,0,32,1,6,246
2022-04-20 07:38:10,2,28,14,0,32,1,56,2300
2022-04-20 07:38:23,2,25,19,0,32,1,13,477
2022-04-20 07:41:09,2,52,25,0,32,1,166,12660
2022-04-20 07:41:34,2,44,23,0,32,1,25,1613
2022-04-20 07:41:43,2,27,12,0,32,1,9,356
2022-04-20 07:44:47,2,35,20,0,32,1,184,9445
2022-04-20 07:46:35,2,36,17,0,32,1,108,5702
2022-04-20 07:47:43,2,30,41,0,32,2,68,2992
2022-04-20 07:48:05,2,3,4,0,32,2,22,97
2022-04-20 07:49:29,2,28,22,0,32,1,84,3450
2022-04-20 07:52:27,2,31,25,0,32,1,178,8093
2022-04-20 07:53:04,2,32,22,0,32,1,37,1737
2022-04-20 07:53:42,2,24,16,0,32,1,38,1338
2022-04-20 07:53:44,2,24,16,0,32,1,2,70
2022-04-20 07:54:42,2,30,21,0,32,1,58,2552
2022-04-20 07:55:22,2,30,17,0,32,1,40,1760
2022-04-20 07:55:49,2,28,17,0,32,1,27,1109
2022-04-20 07:57:08,2,30,21,0,32,1,79,3476
2022-04-20 07:57:49,2,35,21,0,32,1,41,2105
2022-04-20 07:58:14,2,33,25,0,32,1,25,1210
2022-04-20 07:58:22,2,31,19,0,32,1,8,364
2022-04-20 07:59:17,2,31,13,0,32,1,55,2501
2022-04-20 08:00:27,2,23,15,0,32,1,70,2361
2022-04-20 08:02:08,2,31,18,0,32,1,101,4592
2022-04-20 08:03:12,2,36,19,0,32,1,64,3379
2022-04-20 08:03:17,2,4,2,0,32,1,5,29
2022-04-20 08:04:43,2,26,23,0,32,1,86,3279
2022-04-20 08:05:29,2,33,18,0,32,1,46,2226
2022-04-20 08:09:02,2,24,19,0,32,1,213,7498
2022-04-20 08:11:00,2,6,13,0,32,3,118,1038
2022-04-20 08:11:38,2,37,16,0,32,1,38,2062
2022-04-20 08:13:21,2,32,16,0,32,1,103,4834
2022-04-20 08:14:03,2,32,20,0,32,1,42,1971
2022-04-20 08:16:06,2,32,19,0,32,1,123,5773
2022-04-20 08:16:39,2,22,53,0,32,4,33,1065
2022-04-20 08:22:02,2,31,27,0,32,1,323,14686
2022-04-20 08:22:38,2,26,19,0,32,1,36,1373
2022-04-20 08:23:18,2,40,20,0,32,1,40,2347
2022-04-20 08:23:59,2,28,14,0,32,1,41,1684
