DateTime,AdviceCode,Speed,Length
4/19/2022 18:00,2,25,10
4/19/2022 18:02,2,35,16
4/19/2022 18:03,2,42,18
4/19/2022 18:06,2,24,15
4/19/2022 18:09,2,36,17
4/19/2022 18:13,2,27,15
4/19/2022 18:15,2,26,34
4/19/2022 18:16,2,26,16
4/19/2022 18:18,128,126,79
4/19/2022 18:19,2,26,15
4/19/2022 18:20,2,32,17
4/19/2022 18:20,2,93,52
4/19/2022 18:24,2,22,19
4/19/2022 18:34,2,26,13
4/19/2022 18:37,2,40,19
4/19/2022 18:40,2,43,11
4/19/2022 18:45,2,57,33
4/19/2022 18:49,2,29,17
4/19/2022 18:53,2,31,13
4/19/2022 19:01,2,57,38
4/19/2022 19:07,2,27,15
4/19/2022 19:07,2,29,20
4/19/2022 19:11,2,34,18
4/19/2022 19:12,2,11,20
4/19/2022 19:18,2,79,38
4/19/2022 19:19,2,29,14
4/19/2022 19:20,2,23,18
4/19/2022 19:21,2,23,11
4/19/2022 19:22,2,33,17
4/19/2022 19:23,2,23,14
4/19/2022 19:23,2,36,15
4/19/2022 19:26,2,34,14
4/19/2022 19:28,2,27,18
4/19/2022 19:30,2,30,13
4/19/2022 19:30,2,62,31
4/19/2022 19:31,2,35,13
4/19/2022 19:33,2,26,12
4/19/2022 19:44,2,26,17
4/19/2022 19:48,2,43,20
4/19/2022 19:56,2,22,19
4/19/2022 19:59,2,35,16
4/19/2022 20:02,2,44,20
4/19/2022 20:11,2,30,17
4/19/2022 20:11,2,30,18
4/19/2022 20:13,128,93,114
4/19/2022 20:13,2,27,22
4/19/2022 20:15,2,29,12
4/19/2022 20:16,2,25,13
4/19/2022 20:17,2,39,7
4/19/2022 20:20,2,23,9
4/19/2022 20:21,2,32,17
4/19/2022 20:27,2,47,20
4/19/2022 20:45,2,22,8
4/19/2022 20:48,2,29,17
4/19/2022 20:49,2,27,9
4/19/2022 20:56,2,31,14
4/19/2022 21:05,2,30,14
4/19/2022 21:10,2,27,16
4/19/2022 21:18,2,23,8
4/19/2022 21:33,2,29,17
4/19/2022 21:38,2,29,9
4/19/2022 21:48,2,29,15
4/19/2022 21:58,2,27,9
4/19/2022 22:05,2,28,18
4/19/2022 22:11,2,26,17
4/19/2022 22:41,2,37,11
4/19/2022 22:47,2,40,12
4/19/2022 23:14,2,27,13
4/19/2022 23:38,2,37,18
4/19/2022 23:44,128,127,127
4/20/2022 6:32,2,39,13
4/20/2022 6:50,2,30,13
4/20/2022 7:04,2,29,15
4/20/2022 7:09,2,29,17
4/20/2022 7:11,2,27,13
4/20/2022 7:11,2,29,16
4/20/2022 7:13,2,29,15
4/20/2022 7:16,2,28,18
4/20/2022 7:17,2,27,15
4/20/2022 7:19,2,38,17
4/20/2022 7:20,2,30,12
4/20/2022 7:26,2,31,24
4/20/2022 7:27,2,28,40
4/20/2022 7:31,2,36,17
4/20/2022 7:31,2,33,4
4/20/2022 7:35,2,22,16
4/20/2022 7:36,2,30,14
4/20/2022 7:37,2,25,10
4/20/2022 7:38,2,29,19
4/20/2022 7:38,2,33,18
4/20/2022 7:43,2,25,17
4/20/2022 7:43,2,29,17
4/20/2022 7:44,2,28,34
