DateTime,AdviceCode,Speed,Length
12/13/2022 14:01,2,34,19
12/13/2022 14:05,2,43,16
12/13/2022 14:07,2,34,22
12/13/2022 14:09,2,29,41
12/13/2022 14:10,2,33,18
12/13/2022 14:11,2,29,20
12/13/2022 14:11,2,30,16
12/13/2022 14:11,2,41,18
12/13/2022 14:12,2,27,37
12/13/2022 14:12,2,28,18
12/13/2022 14:12,2,29,13
12/13/2022 14:14,2,33,15
12/13/2022 14:23,2,29,20
12/13/2022 14:23,2,24,15
12/13/2022 14:30,2,29,11
12/13/2022 14:31,2,25,15
12/13/2022 14:31,2,30,17
12/13/2022 14:31,2,27,19
12/13/2022 14:35,2,38,20
12/13/2022 14:36,2,28,16
12/13/2022 14:39,2,41,18
12/13/2022 14:40,2,32,22
12/13/2022 14:42,2,26,18
12/13/2022 14:44,2,41,30
12/13/2022 14:45,2,30,20
12/13/2022 14:46,2,36,18
12/13/2022 14:47,2,34,17
12/13/2022 14:48,2,33,19
12/13/2022 14:48,2,31,13
12/13/2022 14:49,2,25,22
12/13/2022 14:50,2,38,18
12/13/2022 14:51,2,33,19
12/13/2022 14:51,2,32,6
12/13/2022 14:55,2,32,18
12/13/2022 14:55,2,38,19
12/13/2022 14:56,2,40,17
12/13/2022 14:59,2,35,19
12/13/2022 15:00,2,36,14
12/13/2022 15:03,2,35,18
12/13/2022 15:05,2,34,17
12/13/2022 15:06,2,28,19
12/13/2022 15:07,2,32,14
12/13/2022 15:07,2,31,23
12/13/2022 15:09,2,35,17
12/13/2022 15:10,2,28,28
12/13/2022 15:11,2,42,16
12/13/2022 15:12,2,37,19
12/13/2022 15:17,2,48,15
12/13/2022 15:17,2,41,19
12/13/2022 15:17,2,43,20
12/13/2022 15:18,2,32,16
12/13/2022 15:19,2,37,19
12/13/2022 15:23,2,30,21
12/13/2022 15:24,2,27,19
12/13/2022 15:24,2,23,12
12/13/2022 15:25,2,30,18
12/13/2022 15:25,2,37,23
12/13/2022 15:25,2,32,14
12/13/2022 15:28,2,22,25
12/13/2022 15:28,2,35,19
12/13/2022 15:29,2,44,20
12/13/2022 15:30,2,29,18
12/13/2022 15:33,2,36,19
12/13/2022 15:34,2,54,18
12/13/2022 15:36,2,40,18
12/13/2022 15:38,2,40,15
12/13/2022 15:38,2,35,16
12/13/2022 15:40,2,36,18
12/13/2022 15:43,2,41,13
12/13/2022 15:47,2,32,19
12/13/2022 15:47,2,42,18
12/13/2022 15:49,2,35,17
12/13/2022 15:52,2,35,16
12/13/2022 15:55,2,36,15
12/13/2022 15:55,2,34,11
12/13/2022 15:56,2,30,19
12/13/2022 15:58,2,32,16
12/13/2022 16:00,2,34,17
12/13/2022 16:03,2,44,34
12/13/2022 16:04,2,30,18
12/13/2022 16:05,2,32,17
12/13/2022 16:07,2,28,17
