DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2022-08-16 13:02:33,2,37,19,0,32,1,0,0
2022-08-16 13:03:57,2,28,14,0,32,1,84,3450
2022-08-16 13:06:28,2,20,19,0,32,1,151,4429
2022-08-16 13:06:35,2,25,24,0,32,1,7,257
2022-08-16 13:08:41,2,28,17,0,32,1,126,5174
2022-08-16 13:09:33,2,47,21,0,32,1,52,3585
2022-08-16 13:13:24,2,37,19,0,32,1,231,12536
2022-08-16 13:14:27,128,31,0,0,32,0,63,2864
2022-08-16 13:14:48,2,30,16,0,32,1,21,924
2022-08-16 13:15:41,2,32,18,0,32,1,53,2487
2022-08-16 13:19:46,2,27,19,0,32,1,245,9702
2022-08-16 13:20:07,2,20,16,0,32,1,21,616
2022-08-16 13:24:00,2,25,16,0,32,1,233,8543
2022-08-16 13:25:31,2,33,14,0,32,1,91,4404
2022-08-16 13:30:08,2,28,16,0,32,1,277,11375
2022-08-16 13:30:23,2,25,22,0,32,1,15,550
2022-08-16 13:37:46,2,22,20,0,32,1,443,14294
2022-08-16 13:44:14,2,31,17,0,32,1,388,17641
2022-08-16 13:45:09,2,23,17,0,32,1,55,1855
2022-08-16 13:45:29,2,39,16,0,32,1,20,1144
2022-08-16 13:46:34,2,21,6,0,32,0,65,2002
2022-08-16 13:49:44,2,25,19,0,32,1,190,6967
2022-08-16 13:52:42,2,31,16,0,32,1,178,8093
2022-08-16 13:54:49,2,28,18,0,32,1,127,5215
2022-08-16 13:59:59,2,27,13,0,32,1,310,12276
2022-08-16 14:00:15,2,26,16,0,32,1,16,610
2022-08-16 14:01:45,2,38,20,0,32,1,90,5016
2022-08-16 14:03:50,2,24,21,0,32,1,125,4400
2022-08-16 14:04:45,2,20,20,0,32,1,55,1613
2022-08-16 14:05:02,2,27,16,0,32,1,17,673
2022-08-16 14:05:39,2,28,19,0,32,1,37,1519
2022-08-16 14:05:49,2,22,15,0,32,1,10,323
2022-08-16 14:10:14,2,20,10,0,32,1,265,7773
2022-08-16 14:12:55,2,30,16,0,32,1,161,7084
2022-08-16 14:14:48,2,21,16,0,32,1,113,3480
2022-08-16 14:18:57,2,28,14,0,32,1,249,10226
2022-08-16 14:22:15,2,26,18,0,32,1,198,7550
2022-08-16 14:25:21,2,35,19,0,32,1,186,9548
2022-08-16 14:25:37,2,22,15,0,32,1,16,516
2022-08-16 14:26:04,2,29,17,0,32,1,27,1148
2022-08-16 14:26:11,2,27,18,0,32,1,7,277
2022-08-16 14:28:26,2,23,14,0,32,1,135,4554
2022-08-16 14:30:45,2,20,6,0,32,0,139,4077
2022-08-16 14:31:15,2,34,18,0,32,1,30,1496
2022-08-16 14:31:41,2,10,11,0,32,2,26,381
2022-08-16 14:34:12,2,20,6,0,32,0,151,4429
2022-08-16 14:34:33,2,30,15,0,32,1,21,924
2022-08-16 14:35:49,2,31,17,0,32,1,76,3455
2022-08-16 14:37:01,2,40,18,0,32,1,72,4224
2022-08-16 14:38:03,2,34,20,0,32,1,62,3092
2022-08-16 14:38:47,2,28,17,0,32,1,44,1807
2022-08-16 14:41:34,2,30,13,0,32,1,167,7348
2022-08-16 14:47:17,2,30,18,0,32,1,343,15092
2022-08-16 14:47:27,2,23,11,0,32,1,10,337
2022-08-16 14:47:35,2,24,16,0,32,1,8,282
2022-08-16 14:47:41,2,30,17,0,32,1,6,264
2022-08-16 14:48:12,2,17,11,0,32,1,31,773
2022-08-16 14:48:14,2,20,12,0,32,1,2,59
2022-08-16 14:51:27,2,36,12,0,32,0,193,10190
2022-08-16 14:52:55,2,21,45,0,32,3,88,2710
2022-08-16 14:53:07,2,20,50,0,32,4,12,352
2022-08-16 14:54:42,2,15,19,0,32,2,95,2090
2022-08-16 14:54:46,2,11,12,0,32,2,4,65
2022-08-16 14:55:50,2,36,24,0,32,1,64,3379
2022-08-16 14:55:52,2,27,18,0,32,1,2,79
2022-08-16 14:58:26,2,26,19,0,32,1,154,5873
2022-08-16 15:01:18,2,26,17,0,32,1,172,6559
2022-08-16 15:01:39,2,21,5,0,32,0,21,647
2022-08-16 15:02:17,2,37,19,0,32,1,38,2062
2022-08-16 15:04:06,2,33,17,0,32,1,109,5276
2022-08-16 15:08:00,2,29,15,0,32,1,234,9953
2022-08-16 15:09:08,2,54,40,0,32,1,68,5386
2022-08-16 15:09:40,2,32,14,0,32,1,32,1502
2022-08-16 15:09:52,2,24,15,0,32,1,12,422
2022-08-16 15:10:23,2,11,11,0,32,1,31,500
2022-08-16 15:11:35,2,23,15,0,32,1,72,2429
2022-08-16 15:15:07,2,27,12,0,32,1,212,8395
2022-08-16 15:15:14,2,30,18,0,32,1,7,308
2022-08-16 15:17:08,2,25,14,0,32,1,114,4180
2022-08-16 15:17:17,2,28,18,0,32,1,9,370
2022-08-16 15:25:54,2,29,15,0,32,1,517,21990
2022-08-16 15:29:48,2,31,20,0,32,1,234,10639
2022-08-16 15:31:59,2,28,19,0,32,1,131,5380
2022-08-16 15:33:04,2,24,18,0,32,1,65,2288
2022-08-16 15:34:35,2,19,15,0,32,1,91,2536
2022-08-16 15:35:16,2,26,16,0,32,1,41,1563
2022-08-16 15:37:39,2,31,14,0,32,1,143,6502
2022-08-16 15:37:45,2,34,17,0,32,1,6,299
2022-08-16 15:39:26,2,21,11,0,32,1,101,3111
2022-08-16 15:39:58,2,31,30,0,32,1,32,1455
2022-08-16 15:41:22,2,25,13,0,32,1,84,3080
2022-08-16 15:42:57,2,26,18,0,32,1,95,3623
2022-08-16 15:44:51,2,25,18,0,32,1,114,4180
