DateTime,AdviceCode,Speed,Length
9/27/2022 13:00,4,42,27
9/27/2022 13:00,2,30,28
9/27/2022 13:00,2,30,17
9/27/2022 13:01,2,35,13
9/27/2022 13:03,2,33,17
9/27/2022 13:04,2,23,17
9/27/2022 13:07,2,45,22
9/27/2022 13:10,128,255,16
9/27/2022 13:10,128,227,136
9/27/2022 13:11,128,255,159
9/27/2022 13:11,128,255,50
9/27/2022 13:11,2,34,18
9/27/2022 13:13,2,23,11
9/27/2022 13:13,2,31,16
9/27/2022 13:16,2,25,16
9/27/2022 13:16,2,85,58
9/27/2022 13:17,2,32,16
9/27/2022 13:19,2,33,15
9/27/2022 13:21,2,41,9
9/27/2022 13:22,2,34,14
9/27/2022 13:25,2,19,28
9/27/2022 13:27,2,21,16
9/27/2022 13:35,2,30,17
9/27/2022 13:43,2,25,13
9/27/2022 13:43,2,25,15
9/27/2022 13:43,2,25,16
9/27/2022 13:45,2,28,14
9/27/2022 13:47,128,255,255
9/27/2022 13:48,2,31,15
9/27/2022 13:48,2,26,19
9/27/2022 13:52,2,33,16
9/27/2022 13:54,128,255,128
9/27/2022 13:54,2,32,17
9/27/2022 13:58,2,40,15
9/27/2022 13:59,128,102,17
9/27/2022 14:00,2,33,17
9/27/2022 14:02,2,30,15
9/27/2022 14:03,2,36,19
9/27/2022 14:04,2,29,12
9/27/2022 14:05,2,46,23
9/27/2022 14:07,2,42,24
9/27/2022 14:09,128,255,255
9/27/2022 14:09,2,18,16
9/27/2022 14:12,2,28,15
9/27/2022 14:13,128,255,255
9/27/2022 14:17,2,32,16
9/27/2022 14:20,128,255,126
9/27/2022 14:23,2,32,17
9/27/2022 14:23,2,26,16
9/27/2022 14:24,128,255,143
9/27/2022 14:25,2,34,17
9/27/2022 14:28,2,32,19
9/27/2022 14:29,2,26,19
9/27/2022 14:30,2,25,19
9/27/2022 14:31,2,29,11
9/27/2022 14:31,2,29,17
9/27/2022 14:32,2,32,16
9/27/2022 14:33,128,255,255
9/27/2022 14:33,2,34,16
9/27/2022 14:36,2,26,18
9/27/2022 14:37,2,36,16
9/27/2022 14:38,2,34,19
9/27/2022 14:40,128,255,255
9/27/2022 14:41,128,255,255
9/27/2022 14:41,2,27,15
9/27/2022 14:41,2,34,20
9/27/2022 14:44,2,10,11
9/27/2022 14:44,128,255,255
9/27/2022 14:47,2,28,13
9/27/2022 14:52,128,255,209
9/27/2022 14:54,2,28,18
9/27/2022 14:56,2,32,16
9/27/2022 15:01,2,12,15
9/27/2022 15:04,2,29,18
9/27/2022 15:04,2,29,42
9/27/2022 15:08,2,18,41
9/27/2022 15:08,2,19,16
9/27/2022 15:09,2,17,17
9/27/2022 15:09,2,20,18
9/27/2022 15:09,2,20,10
9/27/2022 15:11,2,25,32
9/27/2022 15:12,2,27,14
9/27/2022 15:13,2,25,16
9/27/2022 15:13,2,24,11
9/27/2022 15:13,2,22,10
9/27/2022 15:18,2,25,19
9/27/2022 15:20,128,255,18
9/27/2022 15:21,2,28,16
9/27/2022 15:25,2,34,17
9/27/2022 15:26,128,255,255
9/27/2022 15:28,2,28,13
9/27/2022 15:30,128,255,255
9/27/2022 15:33,2,34,14
9/27/2022 15:34,2,31,16
9/27/2022 15:35,2,25,33
9/27/2022 15:37,2,27,15
9/27/2022 15:38,2,31,15
9/27/2022 15:39,2,34,19
9/27/2022 15:40,2,31,17
9/27/2022 15:40,2,32,12
9/27/2022 15:41,2,27,23
9/27/2022 15:45,2,34,14
9/27/2022 15:46,2,31,16
9/27/2022 15:46,2,31,12
9/27/2022 15:46,2,35,30
9/27/2022 15:49,2,29,13
9/27/2022 15:49,2,32,9
9/27/2022 15:50,2,28,16
9/27/2022 15:51,2,23,11
9/27/2022 15:54,2,30,14
9/27/2022 15:55,2,27,16
9/27/2022 15:57,2,38,8
9/27/2022 15:58,2,29,18
9/27/2022 16:00,2,27,16
9/27/2022 16:03,2,34,18
9/27/2022 16:05,2,30,19
9/27/2022 16:05,2,28,14
9/27/2022 16:05,2,29,17
9/27/2022 16:07,2,41,50
9/27/2022 16:08,2,27,15
9/27/2022 16:12,2,31,17
9/27/2022 16:13,128,255,9
9/27/2022 16:14,2,30,19
9/27/2022 16:17,2,32,20
9/27/2022 16:18,2,25,9
9/27/2022 16:19,128,222,183
9/27/2022 16:19,128,255,255
9/27/2022 16:20,2,24,16
9/27/2022 16:20,128,255,255
9/27/2022 16:22,2,35,13
9/27/2022 16:23,2,28,18
9/27/2022 16:27,2,30,14
9/27/2022 16:28,2,30,18
9/27/2022 16:35,2,25,16
9/27/2022 16:35,2,23,14
9/27/2022 16:36,2,22,10
9/27/2022 16:37,2,29,14
9/27/2022 16:38,2,28,18
9/27/2022 16:39,2,28,18
9/27/2022 16:39,2,29,15
9/27/2022 16:39,2,35,15
9/27/2022 16:46,2,30,16
9/27/2022 16:48,2,22,28
